EventID,Time,Latitude,Longitude,Depth,Magnitude
uw10624728,2004-09-23T02:03:09.000,46.224,-122.14,4.737,-0.8
uw10624818,2004-09-23T09:02:38.480,46.1948333,-122.1976667,-1.694,0.2
uw10624853,2004-09-23T09:13:22.640,46.2055,-122.198,0.506,-0.5
uw10624873,2004-09-23T09:39:37.850,46.201,-122.2003333,-1.704,-0.1
uw10624918,2004-09-23T10:11:07.440,46.2018333,-122.1888333,0.246,0.1
uw10624933,2004-09-23T10:11:20.020,46.2078333,-122.1925,1.228,-0.5
uw10625043,2004-09-23T10:29:18.070,46.2175,-122.177,1.477,-0.1
uw10625068,2004-09-23T10:31:31.920,46.2893333,-122.2011667,7.736,0.2
uw10625088,2004-09-23T11:14:56.850,46.1996667,-122.1921667,-0.124,-0.8
uw10625123,2004-09-23T11:37:38.020,46.1956667,-122.192,-1.378,-0.5
uw10625138,2004-09-23T11:39:50.300,46.1936667,-122.1848333,1.827,-1.1
uw10625148,2004-09-23T12:01:26.050,46.1968333,-122.1951667,-1.674,0.7
uw10625178,2004-09-23T12:33:10.550,46.2013333,-122.196,-0.999,-0.3
uw10625193,2004-09-23T12:44:54.100,46.1966667,-122.2041667,-1.684,-0.3
uw10625208,2004-09-23T12:45:22.780,46.1976667,-122.2023333,0.546,0.2
uw10625223,2004-09-23T12:46:00.770,46.282,-122.1958333,11.156,-0.3
uw10625228,2004-09-23T12:51:27.440,46.1998333,-122.1995,-0.554,0.6
uw10625248,2004-09-23T13:10:34.430,46.2778333,-122.1651667,-0.45,0.2
uw10625268,2004-09-23T13:20:54.580,46.1736667,-122.3118333,15.364,0.2
uw10625303,2004-09-23T13:32:44.250,46.3123333,-122.1651667,15.656,0.2
uw10625333,2004-09-23T13:39:32.240,46.2013333,-122.1923333,-1.034,-0.1
uw10625343,2004-09-23T13:47:15.210,46.1931667,-122.191,-1.314,-0.8
uw10625358,2004-09-23T13:47:25.270,46.2013333,-122.1936667,-0.146,-0.5
uw10625373,2004-09-23T13:47:43.400,46.2035,-122.1843333,0.034,-0.9
uw10625383,2004-09-23T13:48:15.650,46.202,-122.1918333,-0.394,-0.5
uw10625398,2004-09-23T13:48:42.380,46.202,-122.1858333,-0.424,0.4
uw10625423,2004-09-23T14:35:46.050,46.1998333,-122.181,-0.544,-0.3
uw10625458,2004-09-23T14:50:09.400,46.2146667,-122.1936667,-1.704,-0.3
uw10625468,2004-09-23T14:57:13.930,46.1946667,-122.1878333,-1.704,-0.1
uw10625478,2004-09-23T15:02:43.370,46.2003333,-122.2365,1.897,-0.2
uw10625488,2004-09-23T15:03:00.710,46.2025,-122.1883333,-0.814,0.2
uw10625498,2004-09-23T15:05:07.400,46.2033333,-122.1895,-0.294,0
uw10625513,2004-09-23T15:05:17.180,46.2031667,-122.1876667,-1.606,0.3
uw10625523,2004-09-23T15:05:59.630,46.2021667,-122.1873333,-0.104,0.7
uw10625578,2004-09-23T15:38:06.400,46.2068333,-122.1918333,1.352,0.7
uw10625588,2004-09-23T15:45:00.290,46.206,-122.1908333,1.896,-0.5
uw10625608,2004-09-23T15:47:48.620,46.1873333,-122.2051667,1.646,-0.2
uw10625618,2004-09-23T15:47:59.560,46.201,-122.1951667,-0.116,-0.6
uw10625643,2004-09-23T15:48:34.050,46.2053333,-122.1965,-0.258,-0.6
uw10625658,2004-09-23T15:49:23.260,46.2001667,-122.191,-0.046,-0.6
uw10625663,2004-09-23T15:49:57.190,46.2011667,-122.1875,-0.484,0.4
uw10625708,2004-09-23T16:05:52.970,46.2338333,-122.1818333,1.496,-0.5
uw10625728,2004-09-23T16:30:56.050,46.2003333,-122.1896667,-0.264,0.4
uw10625743,2004-09-23T16:33:14.450,46.2045,-122.1915,0.022,0.4
uw10625763,2004-09-23T16:57:39.780,46.1983333,-122.1928333,-0.974,0.2
uw10625798,2004-09-23T17:07:30.300,46.2158333,-122.1688333,2.107,-0.6
uw10625838,2004-09-23T17:19:02.000,46.2011667,-122.188,0.016,0.1
uw10625863,2004-09-23T17:23:16.840,46.2048333,-122.1883333,-0.834,0.5
uw10625878,2004-09-23T17:27:12.880,46.2023333,-122.1891667,-0.284,0
uw10625883,2004-09-23T17:29:27.600,46.1998333,-122.1931667,-1.678,-0.5
uw10625898,2004-09-23T17:32:40.350,46.2015,-122.1995,0.076,-0.5
uw10625928,2004-09-23T17:40:41.650,46.2013333,-122.1878333,-0.384,0.7
uw10625968,2004-09-23T17:56:31.190,46.1885,-122.2026667,-1.678,-0.3
uw10625983,2004-09-23T17:57:00.680,46.1976667,-122.203,-1.674,-0.8
uw10625998,2004-09-23T17:57:32.230,46.2046667,-122.1915,0.312,-0.5
uw10626008,2004-09-23T17:59:18.560,46.2006667,-122.1918333,-0.046,0.8
uw10626033,2004-09-23T18:09:50.000,46.2056667,-122.1901667,-0.194,-0.2
uw10626078,2004-09-23T18:12:43.550,46.2068333,-122.188,-0.074,-0.1
uw10626053,2004-09-23T18:13:13.810,46.2035,-122.1883333,0.186,0
uw10626088,2004-09-23T18:14:56.980,46.2015,-122.1916667,-0.484,0.1
uw10626113,2004-09-23T18:18:12.340,46.199,-122.1921667,-0.224,-0.1
uw10626133,2004-09-23T18:20:47.790,46.2005,-122.1886667,0.026,-0.2
uw10626158,2004-09-23T18:23:21.210,46.1936667,-122.2018333,-1.678,-0.1
uw10626168,2004-09-23T18:25:20.780,46.195,-122.1928333,-0.778,-0.5
uw10626183,2004-09-23T18:27:14.300,46.2005,-122.1905,0.066,0.2
uw10626198,2004-09-23T18:32:33.880,46.1956667,-122.1845,0.876,-0.6
uw10626208,2004-09-23T18:34:04.590,46.2005,-122.1881667,-0.494,-0.6
uw10626223,2004-09-23T18:37:16.440,46.2001667,-122.1958333,-0.934,-0.9
uw10626238,2004-09-23T18:42:49.850,46.2001667,-122.1871667,-0.094,0.1
uw10626258,2004-09-23T18:56:01.630,46.1983333,-122.1901667,-0.674,0.2
uw10626278,2004-09-23T18:58:56.150,46.2026667,-122.1903333,-0.004,0.1
uw10626298,2004-09-23T18:59:48.170,46.226,-122.2201667,6.7,0.2
uw10626303,2004-09-23T19:00:38.610,46.2016667,-122.1886667,-0.094,-0.2
uw10626313,2004-09-23T19:03:17.390,46.2655,-122.3828333,-0.069,-0.1
uw10626428,2004-09-23T19:09:59.460,46.201,-122.1873333,0.016,-0.6
uw10626438,2004-09-23T19:11:49.240,46.1976667,-122.19,-0.234,-0.8
uw10626448,2004-09-23T19:16:50.170,46.2015,-122.1881667,-0.044,-0.7
uw10626458,2004-09-23T19:18:50.580,46.1973333,-122.1963333,-1.674,0.3
uw10626478,2004-09-23T19:19:23.970,46.2001667,-122.1873333,-0.284,0.4
uw10626498,2004-09-23T19:19:41.540,46.1996667,-122.1901667,0.264,-0.2
uw10626508,2004-09-23T19:20:06.060,46.2001667,-122.1941667,-0.674,-0.9
uw10626523,2004-09-23T19:20:35.260,46.2043333,-122.1833333,-0.976,-0.6
uw10626528,2004-09-23T19:21:32.660,46.2045,-122.198,1.056,0.2
uw10626588,2004-09-23T19:25:27.450,46.1981667,-122.1975,-1.684,0.9
uw10626648,2004-09-23T19:59:07.680,46.2008333,-122.1881667,0.046,-0.1
uw10626688,2004-09-23T20:06:02.230,46.2031667,-122.1903333,0.166,-1.1
uw10626698,2004-09-23T20:10:08.090,46.2043333,-122.1838333,0.326,0.5
uw10626718,2004-09-23T20:10:27.470,46.199,-122.1978333,-1.204,-0.1
uw10626723,2004-09-23T20:12:39.240,46.1938333,-122.213,0.006,0.6
uw10626738,2004-09-23T20:14:13.530,46.2,-122.1913333,0.006,-0.1
uw10626748,2004-09-23T20:18:53.040,46.2031667,-122.1926667,-0.464,-0.8
uw10626763,2004-09-23T20:32:47.620,46.1928333,-122.1888333,-1.704,-0.5
uw10626778,2004-09-23T20:35:20.040,46.2083333,-122.183,-0.009,-0.8
uw10626813,2004-09-23T20:42:58.200,46.2048333,-122.1955,-1.629,-1.1
uw10626823,2004-09-23T20:48:34.000,46.2031667,-122.1883333,-1.698,-0.6
uw10626838,2004-09-23T20:50:35.440,46.2003333,-122.185,-0.624,-0.7
uw10626853,2004-09-23T20:52:58.200,46.2015,-122.1868333,-0.084,-0.8
uw10626873,2004-09-23T20:55:19.730,46.2001667,-122.1923333,-0.414,-0.8
uw10626878,2004-09-23T20:57:07.210,46.197,-122.2008333,-1.684,-0.9
uw10626888,2004-09-23T20:57:56.900,46.2008333,-122.1868333,0.556,-0.8
uw10626898,2004-09-23T20:59:42.070,46.2001667,-122.193,-0.394,0.2
uw10626908,2004-09-23T21:02:57.860,46.2783333,-122.1158333,8.296,-0.5
uw10626923,2004-09-23T21:05:02.740,46.2006667,-122.1868333,-0.014,-0.2
uw10626978,2004-09-23T21:16:12.770,46.2023333,-122.1851667,0.476,-0.6
uw10626998,2004-09-23T21:20:00.290,46.1985,-122.1985,-0.824,-1.6
uw10627008,2004-09-23T21:26:17.230,46.2008333,-122.1876667,0.156,-0.8
uw10627028,2004-09-23T21:27:59.630,46.2021667,-122.194,-0.134,-0.5
uw10627073,2004-09-23T21:39:14.860,46.1998333,-122.1876667,-0.064,-0.9
uw10627103,2004-09-23T21:45:00.080,46.2095,-122.2585,-1.759,-0.3
uw10627133,2004-09-23T21:46:03.780,46.1998333,-122.1883333,-0.124,-0.6
uw10627148,2004-09-23T21:48:47.190,46.1921667,-122.2013333,-1.713,-2.5
uw10627163,2004-09-23T21:50:53.170,46.1898333,-122.1961667,-1.684,-1.6
uw10627183,2004-09-23T21:51:59.720,46.192,-122.1943333,-1.694,-0.1
uw10627203,2004-09-23T21:55:42.290,46.198,-122.1938333,-1.688,-0.3
uw10627213,2004-09-23T21:57:24.780,46.1996667,-122.1878333,-0.324,0.2
uw10627233,2004-09-23T21:59:28.430,46.1956667,-122.1943333,-1.524,-1.1
uw10627243,2004-09-23T22:01:06.990,46.2013333,-122.1893333,-0.224,-0.4
uw10627258,2004-09-23T22:05:52.680,46.2003333,-122.1871667,-0.084,0
uw10627268,2004-09-23T22:06:43.190,46.1995,-122.1886667,-0.314,-0.3
uw10627278,2004-09-23T22:10:02.530,46.2008333,-122.1888333,0.166,-1.1
uw10627293,2004-09-23T22:14:34.650,46.2018333,-122.1903333,-0.374,-0.2
uw10627303,2004-09-23T22:17:12.740,46.1975,-122.195,-0.488,-0.1
uw10627318,2004-09-23T22:19:06.890,46.2005,-122.1881667,0.216,0
uw10627333,2004-09-23T22:20:15.250,46.2006667,-122.186,-0.074,-1.1
uw10627343,2004-09-23T22:21:30.570,46.1975,-122.1943333,-0.774,-0.3
uw10627363,2004-09-23T22:25:06.590,46.1988333,-122.195,-1.704,-0.1
uw10627373,2004-09-23T22:28:18.570,46.2015,-122.185,-0.174,-1.1
uw10627388,2004-09-23T22:31:22.290,46.1985,-122.1871667,0.226,-1.1
uw10627408,2004-09-23T22:35:08.610,46.2015,-122.1941667,0.176,-0.3
uw10627438,2004-09-23T22:49:20.000,46.2008333,-122.1898333,-0.154,-0.9
uw10627448,2004-09-23T22:52:55.260,46.2011667,-122.1956667,-0.384,-0.8
uw10627468,2004-09-23T22:56:18.930,46.2013333,-122.1843333,0.386,0.4
uw10627483,2004-09-23T22:59:45.880,46.2036667,-122.1871667,0.596,-0.8
uw10627493,2004-09-23T23:11:15.970,46.1998333,-122.19,-0.204,-0.6
uw10627533,2004-09-23T23:22:45.320,46.2016667,-122.187,-0.204,-0.8
uw10627553,2004-09-23T23:27:54.050,46.1876667,-122.1976667,-1.694,-1.6
uw10627578,2004-09-23T23:36:52.100,46.194,-122.1953333,-1.704,-1.1
uw10627598,2004-09-23T23:42:20.940,46.1993333,-122.1918333,0.106,-0.2
uw10627613,2004-09-23T23:43:30.790,46.2005,-122.1865,0.346,-1.3